stop,pagerank
Karnataka Housing Complex,0.0007577091209907029
Yelahanka Satelite Town,0.0007545491300785996
Kothnuru Kanakapura Road,0.0007532778102754073
Sindhi High School,0.00075263942311102
Jambusavari dinne,0.0007459602212758964
AGS Layout,0.000744515098514921
JFWTC-ITPL,0.0007442457663776218
KHB Colony,0.0007413120456232267
Vasanthapura,0.0007387376296254742
Annapoorneshwari Nagara,0.000738427498333323
Doddabasthi,0.0007382353958925693
Sophiya High School,0.0007363690246616311
Bande Maramma Bus Station,0.0007340849061528096
Cauvery Bhavana,0.0007331665691317461
Tavare Kere Magadi Road,0.000731431533207494
Ejipura,0.0007239525528650225
DRDO 2ND Phase,0.0007190722288081957
Puttenahalli Yelhanka,0.0007176080906539511
Deepanjalinagara Depot-16,0.0007173658712686589
BOSCH,0.0007151183944736593
ORRCA-ECOSPICE,0.0007135992279944468
Bagaluru Cross,0.000709369024636272
Anekal Bus Stand,0.0007083748324818165
Kambipura,0.000707313535511939
HMT Watch Factory,0.0007014793415234874
Old Bayappanahalli,0.0006986561300567625
YPR RMC,0.0006969250854884606
Basavanagara,0.0006952779465713931
Muthyalaya Nagar,0.0006933063413260691
Jaggath Pharma,0.0006910632816240401
Globale Academy Bangarappa Nagara,0.0006905725985432847
Brudavana Nagara Jinke vana,0.0006877238345490003
Nagadevanahalli Kengeri,0.0006846432606643291
Kittanahalli,0.0006793904187214186
Chikka Tirupathi,0.0006774213006287681
Yelahanka Satellite Town,0.0006768143988842185
BCC Layout,0.000674053920144247
Jakkur Layout,0.0006726748134899093
Neela sandra,0.0006707539151892769
Shankararnag Bus Stop,0.0006690325408104074
Padmanabha Nagara,0.0006680724838666642
Devarachikkanahalli,0.000654984325216452
Depot 14,0.0006544746057686475
Ganga Nagara,0.0006443474982356377
Naduvatti,0.0006442913099414312
Yeshwanthpura Railway Station,0.0006441829715017485
Bangarappa Nagara,0.0006431369951983
Jaibheemanagara,0.0006400582522560699
MS Palya,0.0006388370592539366
BTM Layout South,0.000634492863730207
Beguru,0.000634492863730207
Mangammana Palya,0.0006285961848191362
Depot-25-BS,0.000624513823969063
Jayanagara 4th Block,0.0006238126804930028
Depot 9,0.0006227782899272296
Arishinakunte,0.0006190738451208435
Jigani APC Circle,0.0006165127369659877
MEI Layout,0.0006142952611337749
Girinagara Extention,0.000612671526556955
Dodda Kannalli,0.0006119301774238075
Brigade Road,0.0006057892767184145
Kumaraswamy Layout,0.000605505197933731
Goragunte Palya,0.0006050051387989291
Dasanapura,0.0005987954899433202
KM SCHOOL,0.0005982067611960867
Bidadi Bus Stand,0.0005940945516011598
Halasur,0.0005904466856797637
BMTC Depot-17,0.00058684008393016
Bharathnagar 2nd Stage,0.0005850531019089728
Madiwala MARKET,0.000582696684660187
White Field,0.0005813953488372093
John FW Tech Centre,0.0005813953488372093
Khaji Hosahalli,0.0005813953488372093
Depot-37,0.0005813953488372093
Depot 3,0.0005813953488372093
Hanumantha Nagara Ward Office,0.0005813953488372093
Sulibele Hoskote,0.0005813953488372093
Frazer Town,0.0005813953488372093
Jagath Pharma,0.0005813953488372093
Krishna Garden BHEL Layout,0.0005813953488372093
Bangalore University Gate Mysore Road,0.0005813953488372093
Krishna Rao Park,0.0005813953488372093
Kalyana Nagara,0.0005813953488372093
Ramamurthinagar Police Station,0.0005813953488372093
HAL Main gate,0.0005813953488372093
Isolation Hospital,0.0005813953488372093
NAGAVARA JUNCTION,0.0005813953488372093
BHEL Gate,0.0005813953488372093
Depot 24,0.0005813953488372093
Byatarayana Pura,0.0005813953488372093
Chowdeshwari Bus Stop,0.0005756087802542508
BEL FACTORY,0.0005733870634284935
Indian Express,0.0005732872766084308
Bhuvaneshwari Nagara,0.0005732482439101364
GKVK,0.0005727542303214893
Gundanjaneya Swamy Temple,0.0005726055707752857
Geddala Halli,0.0005713390966245148
MATTHAHALLI,0.0005705319987906008
ISRO Quarters,0.0005689160941872825
Vinayaka Nagara,0.0005595780938435186
HBR Layout Ist Stage,0.0005579454354151577
Thippuru,0.0005575442618900166
AECS Layout,0.0005575442618900166
Arekere MICO Layout,0.0005560463641679964
Kammasandra,0.0005550531445832313
DEPOT-25 HSR Layout,0.0005546848577709762
Nagavara,0.0005534328734986501
Malleshwaram Bus Station,0.0005520331231600101
Marappa Garden,0.0005491537944426709
Manorayana Palya,0.0005487425933426732
Thambuchetty Palya,0.0005478569053138197
Govinda Pura,0.0005477800093153783
Munnekolalu,0.0005461780136480472
Aluru,0.0005440008883720919
Nerige,0.0005434493345148402
Jai Bhuvaneshwari Nagara,0.000543294419683865
Basvanagara Bus Station,0.000543294419683865
Rampura,0.000542575634864177
Shanthi Layout,0.000542575634864177
Jalahalli Village,0.0005420760767274575
Machohalli,0.0005415130038546872
Muthsandra,0.0005412098418487146
Thammenahalli,0.000540814027975648
CPWD Quarters,0.000539255303110356
Narasipura,0.0005387220255217454
Channasandra,0.000537682586990917
BMTC Depot-12 Gate Kengeri,0.0005355388162886218
Depot-32,0.0005353560738143415
TATA ELEXI LIMITED,0.0005347905428242659
Baiyappanahalli Satellite Bus Station,0.000534350253706478
Bhuvaneshwari Nagara Mahalakshmi Temple,0.0005339566158465562
IAF,0.0005333098613245764
White Field Post Office,0.0005315116549669865
Arekere lakshmi Layout,0.0005315116549669865
Amarajyothi Badavane,0.0005307450762730638
Vaderahalli,0.000530728863310389
Sarjapura,0.0005306429221925003
Kumarans School Mallasandra,0.0005303819318757223
Kamalanagara BEML Layout,0.0005294487349376863
Mind Tree,0.000528797221443364
Chikkanahalli,0.0005286187284353466
Padmanabha Nagara Rock,0.0005278495832492826
DEPOT-28,0.0005267648003349653
Jalavayu Vihara,0.0005265153817486802
Mallesh Palya New Bus Stand,0.0005261077470016042
HSR BDA COMPLEX,0.0005254841091179176
Yelahanka Satelite Town 4th Phase,0.000522648923558705
St John Hospital,0.0005216110198236674
YELAHANKA,0.0005206345188124228
Nagarabhavi 2nd Phase 11th Block,0.0005205648332984815
Dayananda Sagar College,0.000520258201486818
Hennur Cross,0.0005191333110060411
Kengeri Police Station,0.0005173658094433881
Jn of Marathalli Bridge,0.0005133338853910086
Vishwapriya Layout,0.0005119333489175338
Karnataka High Court,0.0005086269805746493
RTNagara,0.0005072414071883296
Kenchanapura Cross,0.0005071656857876191
Mathikere,0.0005071253110337949
